,gini
0,0.7984416626235313
1,0.7589296059735162
2,0.8152302337166946
3,0.8027846820513369
4,0.5235260107535746
5,0.8176820257097221
6,0.8435401210152919
7,0.84538278125116
8,0.8258510115723898
9,0.6592701257357011
10,0.7412446141699763
11,0.7318323127680015
12,0.7265529602145405
13,0.7602571820976363
14,0.7214010939990053
15,0.74151290860772
16,0.7198978390101336
17,0.7252418675766074
18,0.7264231305381393
19,0.6595608484635763
20,0.8258671092443953
21,0.8328295011161653
22,0.7266372280134951
23,0.8381100906580555
24,0.8256155990923989
25,0.8311284880654346
26,0.8143356212324998
27,0.8256159847536134
28,0.8271077667332394
29,0.7631953111202874
30,0.6114824569566646
31,0.6498902910914242
32,0.6391981618516627
33,0.6127775505740187
34,0.5913732722391235
35,0.5981074337471393
36,0.5721037754139671
37,0.6239839378370083
38,0.6358276312293746
39,0.640392562816197
40,0.607426137469485
41,0.7062937468035
42,0.6687156288727556
43,0.6166299479613174
44,0.6062090047127897
45,0.6068529700065668
46,0.6439836214087443
47,0.600057923092003
48,0.6167214092570963
49,0.7104997053897868
50,0.808006553592944
51,0.6282315118606336
52,0.750333897013459
53,0.8053549650482218
54,0.8044322467145434
55,0.7981958217095922
56,0.8393784347208021
57,0.8057405623056663
58,0.8048841009113412
59,0.6173431405809627
60,0.7054513408138179
61,0.51114744074362
62,0.7349996963745381
63,0.7128467859495212
64,0.7269193892183894
65,0.7229893784027992
66,0.6704314566270916
67,0.6896766393550445
68,0.7001874432320209
69,0.766763747910008
70,0.728340051000093
71,0.7309131702836509
72,0.686019410239409
73,0.7383229083052593
74,0.6663970397464191
75,0.7283561078714487
76,0.7319963714605009
77,0.7008687458696934
78,0.7356470554463505
79,0.7178651458400014
80,0.6365144645788922
81,0.8136009790444788
82,0.6845093550935683
83,0.662697761654227
84,0.6519660489777905
85,0.7001181005152328
86,0.6648353556868253
87,0.6618229190124031
88,0.6876702595601062
89,0.7784274291711505
90,0.7050291961439908
91,0.6443493098039258
92,0.7159102769679387
93,0.7259959344454685
94,0.720850841285385
95,0.727241588283568
96,0.6999747181326023
97,0.7132471541358233
98,0.701352051503486
99,0.6551242736256847
100,0.8302686209248882
101,0.6356027032801912
102,0.8812284692364938
103,0.83314882436367
104,0.8367929205231455
105,0.8293510925391726
106,0.8289628363460942
107,0.8366679608093754
108,0.8355295488453904
109,0.6850320134062163
110,0.7240859436795216
111,0.7514915051732894
112,0.6695166278835532
113,0.7485091724378988
114,0.7169357431158437
115,0.7267448204029008
116,0.7264244065743723
117,0.7092781772821191
118,0.7320911532540433
119,0.7299312959656982
120,0.6111239381347386
121,0.5820245437869507
122,0.6543885359008739
123,0.6211169620176081
124,0.6149865154850375
125,0.61123553382166
126,0.6134880948140043
127,0.6118857730667037
128,0.615338522765672
129,0.6275035706159126
130,0.8607708915772361
131,0.8046855029466526
132,0.8347808309097121
133,0.8658732572872103
134,0.8856470543472683
135,0.8636670630802296
136,0.8339574884460542
137,0.8660819133140294
138,0.862918808703268
139,0.8019755469095726
140,0.7150154806645282
141,0.8315228013822071
142,0.674311613235573
143,0.7158655706975826
144,0.7228653862856304
145,0.6961310213505045
146,0.7134233775534995
147,0.7213082733695465
148,0.687093105464055
149,0.7877494003955547
150,0.5980201439968544
151,0.7255427676930828
152,0.6879796217188202
153,0.6297322541274994
154,0.5934879843237332
155,0.6048228599020549
156,0.6234110797924757
157,0.6812004566214133
158,0.6661828045447699
159,0.7020201729197438
160,0.674013247198901
161,0.6815673199766222
162,0.6138235709837706
163,0.6239659869223444
164,0.7025694131352976
165,0.6421857179877414
166,0.6686042393291
167,0.6188791537834964
168,0.6506624764382244
169,0.6091221094378556
170,0.7553670134831252
171,0.7880813652575344
172,0.6742986345840807
173,0.7578618335963726
174,0.7737789050644873
175,0.7530157873180525
176,0.7450334134612063
177,0.7543591609337663
178,0.7317342463238229
179,0.8630061865187627
180,0.6903613624061115
181,0.6609443327851822
182,0.6940099144881515
183,0.6829213649530623
184,0.716635432005458
185,0.6861258880886686
186,0.690919866256072
187,0.6866531540576756
188,0.6899168146033242
189,0.698216065698462
190,0.6837650141877093
