,output_welfare
0,6.775922304381633
1,5.7695813632230815
2,10.683257987308137
3,6.203750372752416
4,7.024359027857772
5,7.166536505446113
6,7.353585024224754
7,8.7633711507816
8,6.306837115359162
9,12.818330262960107
10,8.321681988750791
11,10.456981086378496
12,11.452803627040115
13,9.644333382653382
14,9.317072356908966
15,10.628446504994677
16,6.861295580943294
17,9.817200188889936
18,9.404967965745948
19,10.273842721715242
20,10.414198984533208
21,13.211717163279642
22,6.488493135503399
23,11.809255722099941
24,10.445862736563246
25,14.02355428115643
26,10.49559954355733
27,11.668564382143561
28,10.831032952000658
29,15.78462646742065
30,7.6183990947388605
31,4.1504699389178015
32,11.678061212342694
33,7.947560569390242
34,8.175744147126188
35,6.438373190260625
36,7.574480421642071
37,7.87736088728941
38,9.198047545655074
39,7.35123654165504
40,11.78924963992824
41,11.311258178268083
42,13.12876340254093
43,12.317156016293465
44,10.842465803288903
45,10.785130536169982
46,11.057402175895781
47,11.390659649334701
48,12.06882126965124
49,11.364743477958223
50,3.4901030661972223
51,3.770574411897703
52,3.1584079365120887
53,3.8364660363050493
54,3.8094895801491067
55,3.6601595496349555
56,3.838196676370554
57,3.9159793125295153
58,3.8037746788229696
59,2.8388623264232145
60,9.292826121340148
61,10.122541149097955
62,8.72220925606397
63,9.779184150626657
64,9.342577059792907
65,11.267806145536202
66,8.920924562617557
67,10.871261843701136
68,10.361258197989617
69,7.68724793120566
70,8.825680514468578
71,8.558237155585864
72,3.959540272620279
73,9.43559872883208
74,10.257744919268482
75,6.927437725272244
76,10.122831245105681
77,9.98287045303671
78,9.709796572085978
79,8.435414576076367
80,9.596622898118355
81,9.221307308308532
82,6.158483314381652
83,9.67018188334522
84,11.629683985135294
85,10.604917983044114
86,9.10449927048985
87,7.541684236169316
88,9.852476381961718
89,9.975685119857715
90,14.897678183390966
91,12.071304939111418
92,11.743885834904221
93,14.684441574514345
94,14.256137380095343
95,15.279651396405676
96,12.021221154523714
97,13.617616941816035
98,13.533140991982542
99,7.1967671459253735
100,4.894573618830526
101,13.74680969051529
102,7.42916537816084
103,4.780571486725357
104,4.722337162617135
105,3.827288591139339
106,3.162085216641669
107,4.742798074412719
108,4.684051465111474
109,6.496573619744101
110,8.938012533775586
111,10.482796000948015
112,7.788711522258167
113,8.288468166376443
114,9.329405236269839
115,11.071823463823884
116,10.75099273712584
117,8.117273068083433
118,8.730926895326938
119,11.152259848066805
120,11.302789807974285
121,8.476079563215464
122,8.148354355033959
123,12.688364790720824
124,12.07597769623727
125,10.454213588811614
126,15.748163041914756
127,12.131025639910646
128,11.009220383782022
129,10.39092078803778
130,14.082206276094816
131,13.312548886073582
132,10.94601348739765
133,12.608495518554735
134,13.10771740011639
135,12.390529980473627
136,10.183683873461803
137,14.002689865427529
138,13.413446329553961
139,9.235008688191805
140,12.565139071964435
141,13.43346643652518
142,7.979255885625294
143,12.338083675851438
144,11.926320285383142
145,11.736404778000484
146,13.969415289945882
147,13.02674927312632
148,11.749927479350829
149,9.108312464822099
150,4.7743442996231025
151,2.9811033853348152
152,5.498615235757192
153,4.342345423624716
154,5.8407248850426035
155,6.057584975135487
156,4.63876004045853
157,4.818981685060222
158,4.282538502000712
159,7.49810317614659
160,12.848509346194149
161,13.254369650062964
162,8.946486866034915
163,13.285335364680103
164,14.014364076004677
165,12.34934294374439
166,11.027907934917657
167,14.251361501360687
168,15.386237133806551
169,3.0243197467724374
170,9.492806924292323
171,5.753283029268159
172,9.304561295825517
173,9.817577600887272
174,7.891820169000091
175,10.64862760862271
