,modularity
0,0.4654291643685131
1,0.6183015758672257
2,0.7084993235300977
3,0.45834659236743597
4,0.462388099448809
5,0.4707988560890792
6,0.4457558125230079
7,0.461681916344856
8,0.4638331315104689
9,0.6017477617385406
10,0.6617760547528595
11,0.578829920909081
12,0.5729901173344358
13,0.6631824278504574
14,0.6595725862685717
15,0.6610797514422462
16,0.6901029215934381
17,0.6559391529130221
18,0.6740737010048885
19,0.47034339229968786
20,0.7005975672987648
21,0.5250115163783006
22,0.6131022359956707
23,0.7038066060650915
24,0.6670518341897664
25,0.6781788930241665
26,0.6822178636776511
27,0.6773121587086751
28,0.6685701486948449
29,0.5186891198992352
30,0.6557161423088607
31,0.4609672183541588
32,0.6754887969972352
33,0.7433200207347413
34,0.6020884496536925
35,0.48198602526282536
36,0.6145101226365122
37,0.670680764777042
38,0.551282362488142
39,0.5989555710845669
40,0.5071246160928361
41,0.4471131442456336
42,0.5061871318683538
43,0.5100134833055798
44,0.5156013789760238
45,0.5178392318402968
46,0.52128660083748
47,0.5139057055891675
48,0.5139607315719166
49,0.46424825566160993
50,0.48842972361094916
51,0.5157230735632328
52,0.48842254307535093
53,0.5006056699857131
54,0.4976724304451546
55,0.49316970287190354
56,0.4950733343763966
57,0.49502823989092415
58,0.500281991597077
59,0.5111369299058185
60,0.61425731565466
61,0.6470249918824418
62,0.5878054580527593
63,0.630784529750269
64,0.62242941714825
65,0.6320688570593564
66,0.6532410891408647
67,0.6720361200223144
68,0.6205191311538238
69,0.6764884305763085
70,0.5823880243356478
71,0.6704893518534502
72,0.48183483441576386
73,0.5982688449334934
74,0.6108826353772177
75,0.5929111129699944
76,0.6616037104986985
77,0.6038390553307443
78,0.5606093388703727
79,0.4716514026877388
80,0.47382920110192833
81,0.5074614307013725
82,0.5213492040866032
83,0.4703433922996878
84,0.4703433922996878
85,0.4703433922996878
86,0.47034339229968786
87,0.689453125
88,0.47034339229968786
89,0.676853715154525
90,0.6183431952662722
91,0.6788629856683727
92,0.6587522533871697
93,0.5333333333333333
94,0.5333333333333333
95,0.5333333333333333
96,0.5333333333333333
97,0.5333333333333333
98,0.5333333333333333
99,0.6055721210624095
100,0.5211850600882418
101,0.5225381800857067
102,0.5487797702436654
103,0.5182998964701833
104,0.5222886165469687
105,0.524521599273544
106,0.5013788901812725
107,0.5126671232350656
108,0.5195303780993703
109,0.6280336962601629
110,0.7080768624621538
111,0.5455593274723456
112,0.6599456373543116
113,0.7256590776475786
114,0.7073972082466375
115,0.7130571879113019
116,0.7181331331911445
117,0.7001319420216405
118,0.7179550229341969
119,0.6806140856338254
120,0.45200000000000007
121,0.6550547409450419
122,0.48925247342456185
123,0.45200000000000007
124,0.45200000000000007
125,0.45200000000000007
126,0.47034339229968786
127,0.45200000000000007
128,0.45200000000000007
129,0.6712385017844588
130,0.6570247933884297
131,0.6669417469506292
132,0.4752200299559969
133,0.6775147928994084
134,0.636094674556213
135,0.6570247933884297
136,0.640495867768595
137,0.636094674556213
138,0.6570247933884297
139,0.5751850184794841
140,0.6060057684893096
141,0.5072775087062698
142,0.488438738569249
143,0.5239308438003982
144,0.5147297417385818
145,0.5200314192198766
146,0.5814969637572599
147,0.5148008930038153
148,0.639651726350989
149,0.5440768244988419
150,0.5951539888817042
151,0.48439750249841595
152,0.49113791798435136
153,0.5653276518442341
154,0.6404901559559838
155,0.6110770786870966
156,0.5881531898270183
157,0.5930924168093816
158,0.579579476175423
159,0.5574743663226378
160,0.52587890625
161,0.6999015866683213
