,gini
0,0.9580240823487407
1,0.22312114959891505
2,0.9579268037474621
3,0.9579784375789421
4,0.9585494550753825
5,0.9574604453089196
6,0.9581042532161469
7,0.9579218973107776
8,0.9583633734296638
9,0.19204768895645555
10,0.2258501521062498
11,0.22951016548116795
12,0.21859040477356972
13,0.19898543071406855
14,0.18780409573854887
15,0.19448771904920792
16,0.2658324063493147
17,0.20592018734736867
18,0.1979747031127172
19,0.21456613115496526
20,0.20287295578075093
21,0.16680733233709333
22,0.18541385162963492
23,0.18705193178832424
24,0.17379543134628428
25,0.18886837505305268
26,0.19658355006223957
27,0.20505060753770432
28,0.2278331931737159
29,0.18352435002198123
30,0.24830260036914484
31,0.21758281959551432
32,0.20330051724874512
33,0.20685547218504555
34,0.2121470445279129
35,0.20786371933052733
36,0.2353132514278967
37,0.20498359276763334
38,0.22234682523314508
39,0.19600506403530027
40,0.21084448474263406
41,0.2046395371758253
42,0.2242362019847393
43,0.23602177448877232
44,0.2351787314245227
45,0.20598533523454474
46,0.23974332165800352
47,0.23353085791369907
48,0.2454255534206682
49,0.181161325919066
50,0.20460815393981366
51,0.2047115277977372
52,0.21768925354868862
53,0.213469844742254
54,0.17338706830702524
55,0.20167368847366743
56,0.16072361396356435
57,0.21670956066922364
58,0.19616037730634556
59,0.16400749166711445
60,0.20684947126190278
61,0.20761224685122445
62,0.20826123603161142
63,0.200231909333764
64,0.19460158883638232
65,0.22218560439359278
66,0.22275939000191936
67,0.21964072346635705
68,0.21708055655347372
69,0.23130084312924304
70,0.23314888406809436
71,0.21821058773730237
72,0.2513370590174671
73,0.235854965041329
74,0.234190854386916
75,0.22303217027026573
76,0.18930359615105077
77,0.20855746363197245
78,0.19993259545518163
79,0.20782848371788026
80,0.21653701178590992
81,0.1889276712685474
82,0.1910921989361468
83,0.18956389917193517
84,0.2000109392075306
85,0.2113690510803718
86,0.2043809934335546
87,0.22768657782129115
88,0.189524135081367
89,0.15246211960018688
90,0.24640969120776315
91,0.2333274628456435
92,0.22520315284851478
93,0.20446196771133596
94,0.23841013089800936
95,0.20469525653292486
96,0.2411015237931452
97,0.2386949870028174
98,0.21892455267191546
99,0.23369991223798384
100,0.1953922547268
101,0.20807453144943563
102,0.19200138775303732
103,0.19218379798144822
104,0.20886011718096734
105,0.21206520515312757
106,0.18770962152095272
107,0.19956429284991084
108,0.20923396090129098
109,0.19155145988491337
110,0.18434802682755413
111,0.21766802369987362
112,0.18760025517094245
113,0.18188585576584174
114,0.18209046952479455
115,0.18853893820883036
116,0.2304749515000187
117,0.20521914042122566
118,0.20251396063991617
119,0.20034078462822988
120,0.22290014615693096
121,0.2354048292195239
122,0.22535889994474906
123,0.24252823101547033
124,0.22828813067236717
125,0.21241435008739812
126,0.2078505281472379
127,0.17937789959501008
128,0.21598252180924596
129,0.20132332494098268
130,0.1957680344698154
131,0.1985453087374088
132,0.20507244415836098
133,0.21271870210107705
134,0.20349197032332975
135,0.18719685105319467
136,0.2354967446188312
137,0.2196267043089669
138,0.1698021381590355
139,0.2176282327089434
140,0.24522862559551348
141,0.1964655225684608
142,0.2203566759304911
143,0.225475876658052
144,0.2171714290314356
145,0.19818660241833724
146,0.2094550023134666
147,0.22826566865876416
148,0.22120619666358643
149,0.20881923193845411
150,0.2612098620595302
151,0.24479111623622424
152,0.22311579398361106
153,0.22382670821440212
154,0.2285881114434417
155,0.20064913990183428
156,0.21660684251952148
157,0.2225799570239182
158,0.23985339903891875
159,0.21645336712186872
160,0.2060750080738657
161,0.2610741599962927
162,0.1880198734142711
163,0.20787272616449334
164,0.23132749926625706
165,0.22651544442130048
166,0.2126935662059929
167,0.22649156816380867
168,0.2456543297174635
169,0.2546337865056382
170,0.21866093338479514
171,0.19884694802940783
172,0.1965584810281746
173,0.2114947787416952
174,0.24294108122745486
175,0.2508828054402825
176,0.23838100199498716
177,0.19308955177065995
178,0.2125675956164667
179,0.24421054590082036
180,0.2224809381095825
181,0.2013258195662736
182,0.21775911896971362
183,0.2136847173341352
184,0.17413338494137737
185,0.2308351220107429
186,0.20968267382683298
187,0.17139638763018158
188,0.21824692259710884
189,0.2118941692943992
190,0.17621196345777157
191,0.1843725922476871
192,0.1911903912828775
193,0.1991596280834163
194,0.1919782805502949
195,0.18632450559509867
196,0.2081401363457917
197,0.22119234233061721
198,0.17553002104358814
199,0.19348996519918085
200,0.23311118346657833
201,0.22236520075624921
202,0.21665163392103773
203,0.22951046816522716
204,0.23554984710897411
205,0.19070399335288174
206,0.22987522251892045
207,0.22569658123142713
208,0.2167063226359801
209,0.18770563968689474
210,0.23497028321796823
211,0.1874815119983124
212,0.20088630942213023
213,0.18965041306017957
214,0.14622040188054586
215,0.1753885428800696
216,0.19626984562783284
217,0.17402805218747808
218,0.19638078583248564
219,0.21131041192218486
220,0.21963343859366222
221,0.21634743327689185
222,0.21270084189435506
223,0.19349244889696887
224,0.21059333170013397
225,0.17081581213589703
226,0.20655459619724417
227,0.1914138321271367
228,0.2638059314655952
229,0.20421034986009776
230,0.21564445209015237
231,0.22316000812876485
232,0.21184118902963814
233,0.2304441116821327
234,0.18219875718305387
235,0.20821255562526986
236,0.19787536175712941
237,0.23065629159947124
238,0.20936764384524817
239,0.21627475645975144
240,0.22181407809346187
241,0.21968222287126415
242,0.22683229790487955
243,0.20458136439463578
244,0.19892895992072981
245,0.2613810407907588
246,0.20153914894317662
247,0.21867394138791135
248,0.27119651958072377
249,0.22945482417836713
250,0.226722481151431
251,0.22132918440969784
252,0.19455943584471577
253,0.20172416454890876
254,0.219027939298073
255,0.1721844705967057
256,0.20449479518085245
257,0.2131067089971505
258,0.21106036451546406
259,0.21251287976382707
260,0.1832213014983804
261,0.24197804344787469
262,0.21468052495800563
263,0.21895601885773713
264,0.19852293067468135
265,0.2340831405568764
266,0.20875722436967495
267,0.19789269215452732
268,0.19464515768787202
269,0.21587940853679524
270,0.1968406688560511
271,0.1979473338093415
272,0.19631261510709677
273,0.22759333176246185
274,0.1964505719737496
275,0.1983067534825422
276,0.23634519559400527
277,0.19110968187343685
278,0.18823141805459057
279,0.17867397020067435
280,0.22617973205345002
281,0.22809934800422035
282,0.18712698708033393
283,0.21835664840261962
284,0.2114510640232144
285,0.19973367739874545
286,0.22049766693872444
287,0.19503600452093492
288,0.19628396084500624
289,0.20951754355691057
290,0.2233441184989323
291,0.21258645104000917
292,0.23445351619127847
293,0.19762176164579698
294,0.2219181954476285
295,0.2615405462587222
296,0.2143008038479099
297,0.22367713381769716
298,0.20472933789179176
299,0.21770905323216677
300,0.23525553919091924
301,0.22072810812861265
302,0.22531097369156117
303,0.2097693061290712
304,0.23044793500784272
305,0.22615973528019218
306,0.2197898574064949
307,0.2171814291687642
308,0.2338503172734884
309,0.20802161653936
310,0.19574280710428205
311,0.1985076826204943
312,0.22301170042955246
313,0.17260812697636474
314,0.18236306379705855
315,0.20765984375285845
316,0.20043953871739084
317,0.1818793571088701
318,0.20818127360820715
319,0.207730575088148
320,0.2446084592500268
321,0.2131707712765088
322,0.19629724556772216
323,0.2333588088527114
324,0.23512915815296023
325,0.2691627796536143
326,0.2350525507789918
327,0.19977747589964923
328,0.21830417067000174
329,0.18523768049960515
330,0.22045287500955346
331,0.21040413755423332
332,0.2237878532634479
333,0.2307300870406445
334,0.1788502218066457
335,0.18280399776935574
336,0.19031911343154956
337,0.20881434421182232
338,0.19709674752512363
339,0.23022125950902184
340,0.23703071993709648
341,0.9398983561530543
342,0.20625697269455376
343,0.2099424041694962
344,0.17030902053162064
345,0.20568783310506808
346,0.18165883715547476
347,0.2215602267730027
348,0.18292910990372938
349,0.9327539341354044
350,0.21305964508428968
351,0.19570660530211
352,0.18062282486155296
353,0.20846489861067669
354,0.21936634626794527
355,0.20623155607478458
356,0.19232707072376592
357,0.17393880465518044
358,0.19915050227987513
359,0.20203581328351297
360,0.2195169292743719
361,0.2196748926180321
362,0.21105214602430658
363,0.20616612058230696
364,0.26930901675800006
365,0.21390773203614905
366,0.2386087444563886
367,0.22533387795143223
368,0.1970734462490283
369,0.22462835436577097
370,0.1767699365177434
371,0.1782894721715596
372,0.17245543815420877
373,0.21748058097241263
374,0.19801973860758634
375,0.18083365839520654
376,0.22910675718845872
377,0.1933944760744579
378,0.19714485218457695
379,0.21985364095805943
380,0.2089685565690809
381,0.18149221109661623
382,0.21147620803781525
383,0.18830464796354093
384,0.16216076913120753
385,0.20467438438111166
386,0.1967926964423691
387,0.19808764815730143
388,0.22389669323975617
389,0.20768361987330672
390,0.2077475098841401
391,0.18767196230674113
392,0.20342451111800025
393,0.2602845568081633
394,0.21343414632748225
395,0.228230316316818
396,0.22268251353730906
397,0.2039285159065715
398,0.20954797544976336
399,0.1850666211521333
400,0.22158263291780644
401,0.23289552539403646
402,0.19582846983177785
403,0.22651125590574586
404,0.1921933855865499
405,0.24390193963689935
406,0.1894019896990521
407,0.21532267440859212
408,0.1950150298936439
409,0.20568735469528893
410,0.20425648937693597
411,0.2332233377203993
412,0.19791046955682745
413,0.16720743280961184
414,0.20634220328131897
415,0.17899815984921724
416,0.2289839461855081
417,0.20083162897993798
418,0.18015801447545166
419,0.20911380684163033
420,0.226469118565176
421,0.2298783627627122
422,0.22103212480793216
423,0.19680757111569808
424,0.2079076504069085
425,0.21542021566133532
426,0.19628436868408194
427,0.197046847544072
428,0.22501791677405034
429,0.1997003703338562
430,0.20359002807053853
431,0.21507200428427128
432,0.2092122704842149
433,0.20383753693830384
434,0.20989436711893686
435,0.22315462717578086
436,0.20596658457072398
437,0.18280982256541917
438,0.18561464057170984
439,0.20392486039292354
440,0.20541308077014092
441,0.16442108375452327
442,0.22733320689943887
443,0.2242764062371368
444,0.2236759110254022
445,0.21709538383879354
446,0.2250577218560275
447,0.20632050243041034
448,0.22043602560059258
449,0.21991419238116766
450,0.20369334430339409
451,0.21559905884267566
452,0.1912249380203565
453,0.20202492315124482
454,0.21234346815975633
455,0.19916875036427387
456,0.19574914626382445
457,0.22075746568850468
458,0.18854990288005208
459,0.20625451259408406
460,0.2135041994205251
461,0.23286394187123244
462,0.19171810645489248
463,0.2014835200241765
464,0.23476212325008627
465,0.20715842971055243
466,0.20665593532947804
467,0.2245354927396228
468,0.25483879183059516
469,0.17122102223826705
470,0.20005854695241676
471,0.21961282813112762
472,0.23412632634245933
473,0.21444044692018185
474,0.2197968739190888
475,0.1938240416579257
476,0.18928045180025369
477,0.2256377275811077
478,0.15933428168033872
479,0.21472353338625788
480,0.2427765156359781
481,0.25437313831541625
482,0.25244401788160087
483,0.23240430571382711
484,0.24976195508227195
485,0.1922355925883497
486,0.2475164435933516
487,0.24024953952181263
488,0.20422838440409966
489,0.17479214987588354
490,0.21605562013628113
491,0.2014307274171347
492,0.2343566091635866
493,0.21097085747716843
494,0.3067832996080889
495,0.2287293607529248
496,0.21162460743795675
497,0.22333813297613714
498,0.21409893273895172
499,0.20232543226606337
500,0.20106672151342989
501,0.21951324754043974
502,0.23589093819043894
503,0.19710122906197325
504,0.22464813342194626
505,0.2097885947189924
506,0.17855457018632742
507,0.19761796202734877
508,0.2266230042321465
509,0.21001614282188172
