,modularity
0,0.5924384642535501
1,0.6030360055875905
2,0.5479341985478716
3,0.6586958163765803
4,0.6134187758160208
5,0.6373986269494387
6,0.7328452478561488
7,0.706451664538747
8,0.5350706238588286
9,0.673159569247512
10,0.49029461279393116
11,0.5620752856252942
12,0.5407630959685178
13,0.49020291369428154
14,0.49568303890829524
15,0.49472894466413464
16,0.49394284883984235
17,0.48373738884955264
18,0.49040479061863684
19,0.527314120544369
20,0.6271030802152334
21,0.5933077356784007
22,0.6303442174444682
23,0.6320788064919832
24,0.6338758277169076
25,0.6306500210975102
26,0.5772972903511489
27,0.6305523357988141
28,0.632048828285249
29,0.46998166378507855
30,0.6013661508599086
31,0.4796266465427408
32,0.6522760566629375
33,0.6447454579305053
34,0.5898230799915545
35,0.6703320001914523
36,0.5633715876932325
37,0.6793775025681992
38,0.6214186337262191
39,0.6386787231573279
40,0.4924507869263324
41,0.491192346933998
42,0.5246450220146494
43,0.48999139515474477
44,0.48295885568677765
45,0.49024525037429234
46,0.49423932309015445
47,0.4952267294350267
48,0.4920510047242183
49,0.4520677560876943
50,0.4791811850002573
51,0.5068007893812043
52,0.6419258448037859
53,0.4823157651075934
54,0.48287468433739167
55,0.5137967778090862
56,0.4865762451341408
57,0.49844984493795047
58,0.5090205062264662
59,0.6022273754945718
60,0.5898896872665185
61,0.6296239975110912
62,0.5344239570674734
63,0.598861275350877
64,0.5923398523961234
65,0.592021606067326
66,0.6501883475082686
67,0.6464670324832977
68,0.6186796082685859
69,0.5220116248347118
70,0.7057635672987491
71,0.7064985473999
72,0.531412420643999
73,0.7143467528897289
74,0.6553700410308932
75,0.6416820185010196
76,0.646065495257211
77,0.7261613988962821
78,0.6421732410682455
79,0.4443359375
80,0.5010768761958369
81,0.5071586698141799
82,0.6640699123552762
83,0.4973991313930738
84,0.4796085295532174
85,0.4763414637742694
86,0.46010256742641464
87,0.5004469498105586
88,0.4999871135340823
89,0.5910151134676748
90,0.606353489818081
91,0.6648009839638557
92,0.61375701952955
93,0.5914080593139664
94,0.5629487089111902
95,0.6080047400249509
96,0.505565479922975
97,0.6013801624634246
98,0.6077714701710695
99,0.49928776883991044
100,0.5351304534455297
101,0.6830334326547032
102,0.5193809295591653
103,0.5418803512250705
104,0.5347153970458378
105,0.5451615111037613
106,0.6201658992318396
107,0.5030178757206398
108,0.5535585899747834
109,0.6211600814341144
110,0.5854489242617583
111,0.6629497874524133
112,0.7548714241801652
113,0.5993481113601878
114,0.5937030146064544
115,0.5923652395985576
116,0.5015254962743024
117,0.5954009670258575
118,0.589130895207262
119,0.5492378656527575
120,0.49059965506317926
121,0.6424600381652572
122,0.446241014218282
123,0.44717026118793124
124,0.492746825390514
125,0.49139285796431187
126,0.4960887831264036
127,0.47920574132153876
128,0.46975705667852674
129,0.619862784700504
130,0.5768822119946475
131,0.5657706861590884
132,0.5548575985245259
133,0.5931314027984215
134,0.5781988740504855
135,0.6235700177884579
136,0.5496550778241704
137,0.5930623731493045
138,0.6066007958620772
139,0.5837001771531913
140,0.6002960959137786
141,0.6139199889316469
142,0.6265676247634018
143,0.5411552439795414
144,0.5940486315839901
145,0.5619016822759645
146,0.6270495803362128
147,0.5487326799796353
148,0.5711371303619155
149,0.6739580234785176
150,0.6240703272270365
151,0.49327887475410387
152,0.4749719059843172
153,0.5456744047867489
154,0.552290214342382
155,0.6427578555285931
156,0.6058506262568721
157,0.5563177620422384
158,0.5966311028104011
159,0.6256979202884715
160,0.5589054128734086
161,0.4978224853264304
162,0.7056787364754649
163,0.5425924510897138
164,0.5742387586685473
165,0.5808867750160672
166,0.5632021629967752
167,0.5813587388589181
168,0.542614785057277
169,0.6157719908353332
170,0.6923720404862318
171,0.7378993305946794
172,0.6342636087990119
173,0.6832199609048052
174,0.6958459487747812
175,0.6931978398194303
176,0.6797922885074454
177,0.6931456960907723
178,0.6748098960124916
179,0.5972884306821644
180,0.5624544032509737
181,0.49226400000000003
182,0.5989740294491338
183,0.5446597750659325
184,0.5439983542307065
185,0.5589721405635959
186,0.5533710624728344
187,0.564887224979309
188,0.5469074822202153
189,0.5661625708884688
190,0.68856453935383
191,0.6362684997423962
192,0.5439399099408369
193,0.683241971148346
194,0.6434162260039048
195,0.6565081470330172
196,0.6634491697864999
197,0.6301976285242967
198,0.6716162271855609
199,0.6475648467029771
200,0.5227400524122544
201,0.4875148632580262
202,0.5246883728167284
203,0.5591335853373757
204,0.5329552012254665
205,0.5577733023663349
206,0.6069483506402015
207,0.5239220675328997
208,0.5234691313812898
209,0.55671435478862
210,0.48439538022794837
211,0.6288990148994411
212,0.5460063331711493
213,0.4857476729878675
214,0.486843879803694
215,0.48524748476115576
216,0.4893780211083188
217,0.4835356861919258
218,0.4848525172943982
219,0.6839323472804225
220,0.5326475414932001
221,0.5366209702272156
222,0.6680877582954339
223,0.5436682978853358
224,0.5393653283716833
225,0.5513980808767883
226,0.5931350404387701
227,0.5735562022054119
228,0.5596265101761698
229,0.4890439269801299
230,0.6222858235834723
231,0.6638290863198363
232,0.47050529784567546
233,0.6226635405838608
234,0.642440819519019
235,0.6212044167289739
236,0.6584658928662575
237,0.5904691566397898
238,0.6107095375102123
239,0.5224290427710632
240,0.41370021800607437
241,0.5007217812836382
242,0.6569851973260519
243,0.5449999999999999
244,0.6092441629999841
245,0.5053507728894174
246,0.49298469387755106
247,0.48025711662075293
248,0.4960603542173317
249,0.5283091279532214
250,0.6289672797484049
251,0.5585939719116365
252,0.7085555608731602
253,0.6578453505312806
254,0.6574551681575802
255,0.7100752173263633
256,0.636094674556213
257,0.6570247933884297
258,0.656762319807079
259,0.576903996296897
260,0.5041111982736686
261,0.5315916965226617
262,0.5211560451826709
263,0.5071587431980303
264,0.4994090970200355
265,0.5023155095763135
266,0.5015588440236671
267,0.5025209551309624
268,0.4999377839485023
269,0.5219270584280162
270,0.6731363353446764
271,0.6419760157418658
272,0.6022365170043285
273,0.6814518486832166
274,0.7009073528090884
275,0.6698648626245058
276,0.6697829935955575
277,0.6888475136333853
278,0.6628469030813956
279,0.6552723353144146
280,0.4548130801902868
281,0.482739748597537
282,0.4692348504224106
283,0.4674425804254949
284,0.5712802133764497
285,0.5406880123417384
286,0.4636365706531882
287,0.47543564909156144
288,0.4809252244465317
289,0.6149690052686427
290,0.5470519324635883
291,0.7199939822747635
292,0.4867710149295214
293,0.5450916899627953
294,0.553563322443083
295,0.5330390435636692
296,0.602719425080809
297,0.5330781025187803
298,0.5429382987519428
299,0.589875382664039
300,0.6260414611879371
301,0.45055555555555554
302,0.6813046578571598
303,0.5554353590842138
304,0.6268589644698388
305,0.5868478523179967
306,0.5241878407812208
307,0.5527711625029796
308,0.5898812029618384
309,0.5986761308531274
310,0.5147671745733086
311,0.6440540789938973
312,0.4758048163777032
313,0.5179973808326855
314,0.6114340984771431
315,0.5161526358925598
316,0.5570046462787954
317,0.5141442666321884
318,0.5124874095907637
319,0.6377025233870267
320,0.498858263774709
321,0.5712782271661663
322,0.6697331212157425
323,0.4684700659302259
324,0.4881844835031436
325,0.47185963008260134
326,0.47383103293997886
327,0.4914276872213048
328,0.46989000919150026
329,0.6907240367807185
330,0.6648151065192125
331,0.5085674475445453
332,0.6221291720944004
333,0.6643663388401291
334,0.6806884020709105
335,0.6633652552739673
336,0.6711846388860403
337,0.6196154514509263
338,0.6642683994316347
339,0.4942345537084557
340,0.6386217954632804
341,0.61940563077334
342,0.5679366147803647
343,0.6374810952120649
344,0.6452445261682869
345,0.6423920447559452
346,0.6975442060082528
347,0.6396128441456536
348,0.6409545397796086
349,0.6918195247826497
350,0.6212103809395162
351,0.60788545438242
352,0.6886054451945387
353,0.6491687201819472
354,0.6228034201648864
355,0.6403423169159039
356,0.6515967135258457
