,gini
0,0.705664140528984
1,0.6709210985836825
2,0.6761364922511
3,0.653478803427384
4,0.6560350928379592
5,0.6650616964982747
6,0.652465322494106
7,0.6098021737324013
8,0.6682261464665102
9,0.6834429454746053
10,0.6920205989780094
11,0.7149390174715899
12,0.6652859889609819
13,0.6693243434668603
14,0.7262640064971287
15,0.7055228521757448
16,0.7126270344676918
17,0.6996560091906328
18,0.7060898125229506
19,0.6534529760420674
20,0.7039349169244287
21,0.683077868625403
22,0.7216368233023902
23,0.6855751802171055
24,0.7400808834381294
25,0.7255451157936456
26,0.7499193798343518
27,0.7125457551841978
28,0.7021794774350832
29,0.5937491351601272
30,0.6849963784450737
31,0.7530918072092397
32,0.7018236970514317
33,0.6854632820030256
34,0.6985427128957008
35,0.704368867956409
36,0.6788530945601994
37,0.673465088660114
38,0.6632209274809747
39,0.7000988985455978
40,0.7136242860140264
41,0.7185876024874537
42,0.6547157749213984
43,0.7125629323709346
44,0.7646949101655429
45,0.7408954771078649
46,0.7277502449483021
47,0.686251751751864
48,0.7237746544027202
49,0.6272642889994321
50,0.7243718211187351
51,0.6898065692445753
52,0.7194103383186966
53,0.7152960433987074
54,0.7572973260478522
55,0.7231075391228716
56,0.7790590223736177
57,0.7444025675801053
58,0.7564397618955624
59,0.7623431240595893
60,0.6687630181208339
61,0.6732729967087536
62,0.6654955356665817
63,0.6966844641921575
64,0.6713203706625394
65,0.6613709136141779
66,0.6775228069541465
67,0.6966449545963274
68,0.6704661015004652
69,0.6713103202052656
70,0.6314656129931344
71,0.6507598783715122
72,0.550526360373438
73,0.6459639235857225
74,0.6559610592207392
75,0.6240652988484635
76,0.6518656150081773
77,0.6076436304220364
78,0.6439864326242813
79,0.6270139467722423
80,0.6525112587740167
81,0.6427029422951008
82,0.6829503859424235
83,0.6377179320301118
84,0.6494065255355502
85,0.6871601517063541
86,0.6229071692637186
87,0.631113597895041
88,0.6758275557363291
89,0.7027071131621017
90,0.7904264615857518
91,0.8253023537037381
92,0.7459367008444856
93,0.7731756427482195
94,0.7030560558585228
95,0.7636940513203337
96,0.7533821973809096
97,0.7962553328543424
98,0.7751580145768661
99,0.8040829695470326
100,0.7553255569430063
101,0.7015067737514337
102,0.8348939661968907
103,0.7557050244231165
104,0.7551704507284934
