,output_welfare
0,3.8365512643082385
1,4.00399340474208
2,9.420784490727332
3,2.8190188837710592
4,1.2220152517204084
5,2.7473100660122918
6,5.822819069697683
7,2.3391034318376676
8,4.371630021074511
9,2.772400238487442
10,10.870528890071931
11,9.455487519133138
12,15.38293591002149
13,9.563018406316475
14,9.650749576046413
15,7.621741668287614
16,6.875109410488424
17,9.526836539775976
18,11.518404712032963
19,8.835674786272433
20,10.456063135424468
21,8.012253701839787
22,13.64646493039551
23,9.159956279752125
24,10.573307570399617
25,9.94791269023497
26,8.171461541268306
27,8.913344061445137
28,11.060164475450541
29,17.164643891974947
30,9.317611876482529
31,8.751023859702228
32,6.115691708234881
33,9.319472023483218
34,6.75564225311739
35,10.17958745245936
36,8.398613983324426
37,9.034944872530078
38,9.060272527831208
39,3.2552173834662708
40,4.132470511231905
41,6.2113048142709815
42,8.2395369063175
43,5.369497481575364
44,4.908744215648374
45,5.591302793984509
46,4.835178329388991
47,5.154123610956234
48,3.8801440957559175
49,6.2359673347336875
50,9.551064984007914
51,10.330733228272608
52,7.331045147331993
53,9.367025878232393
54,9.669824500497363
55,8.958155917570041
56,11.491023557186686
57,9.30670318985026
58,8.953420248611113
59,9.646317176641467
60,13.363762815485254
61,10.43755491485176
62,13.641440322279832
63,13.935387645718105
64,13.805116157624447
65,11.961034611194279
66,9.723118370384737
67,13.027023389489939
68,12.43776321475259
69,3.454663594957651
70,7.576187970283692
71,6.88151579966925
72,6.700612873110956
73,7.058806872632439
74,7.580529333169034
75,6.500515885448627
76,7.565614843347344
77,7.341838920596168
78,6.7397871975603945
79,11.112617476490698
80,6.508830238056782
81,8.885344427557865
82,7.270646301162492
83,5.161937450003245
84,1.4245664882459315
85,4.505067818426686
86,5.702131472755974
87,5.217207731247222
88,5.290848105011968
89,4.035929642805794
90,9.005890564543277
91,10.021654347343032
92,13.004254710328338
93,9.09714226326476
94,9.090557549082055
95,11.398483241598258
96,9.38353548324927
97,9.603048311089893
98,9.932549185496741
99,13.706816996733165
100,4.767686905258072
101,7.224947930542755
102,3.7850449134047235
103,6.543293297678809
104,8.228999121239509
105,5.241185247499192
106,3.6232322108940953
107,5.071319876163373
108,5.7663533876147355
109,3.2720614486234445
110,6.337530974531631
111,6.48790618418909
112,8.975885841830596
113,6.721206863668521
114,4.854024708313809
115,6.78415799968247
116,8.787410127586847
117,7.031339590071874
118,7.475496479969077
119,9.990320042756869
120,12.097213965288894
121,5.391599897097945
122,11.52800271057755
123,12.614961035055117
124,12.21275823226572
125,9.318718902980331
126,15.28480708472495
127,13.110856851794331
128,12.534006805608383
129,6.968088496549236
130,4.897893735316031
131,7.979894349087036
132,4.923294972777946
133,5.005084877669225
134,7.369578711893371
135,4.563500806608734
136,1.874486004640366
137,5.343567771826958
138,5.02897497139629
139,6.854678817014924
140,9.489871684365372
141,5.613360864222577
142,9.332336558443345
143,10.485933566025311
144,9.49102094982593
145,10.290580589317189
146,12.774158901725807
147,10.354925861944022
148,9.774080981719456
149,12.091137602324398
150,9.049831225610024
151,9.162170638030531
152,5.721967378731181
153,7.79572480286487
154,6.733519012585012
155,8.409746810306096
156,10.320762658766204
157,9.194843347895274
158,8.308006566979076
159,6.197286567047099
160,4.090860615556095
161,10.820413481584055
162,8.912955533444292
163,5.558461176598737
164,4.8338038453873144
165,5.812756441977183
166,5.631178264013292
167,5.694807531551342
168,6.0879073836625555
169,7.500307150442445
170,7.663458401611153
171,8.043129496136592
172,5.205590599351536
173,8.892691709955447
174,9.83958667177914
175,8.325479848680045
176,8.779379278899349
177,7.829880209596587
178,8.120056443651537
179,9.931049729542824
180,5.056608884821169
181,11.265253154003991
182,5.623157066994735
183,4.746151031270336
184,4.86906641797997
185,4.565456183746099
186,6.498643631560501
187,5.640775690382404
188,5.9680945213359635
189,9.823800076294885
190,7.938061646640569
191,7.2426437713995915
192,7.375324065255263
193,7.48354496853916
194,6.955614754104953
195,8.513580458987839
196,7.139349211481282
197,7.341564833941464
198,7.060863390095839
199,9.61683619187376
200,13.915025328638258
201,14.6340104084699
202,13.778990450177877
203,12.999564375961258
204,12.849025297425031
205,13.26606820645658
206,12.708119840332618
207,14.054872108021923
208,12.749992872374357
209,12.404273408050223
210,4.189248768994543
211,4.336325894853177
212,4.150226913610878
213,4.206184571798933
214,4.23745158065308
215,4.050950241167111
216,4.195082715605299
217,4.3644908568314875
218,4.178454878740554
219,7.266699612057567
220,3.7913860425766437
221,5.908503383222439
222,3.546275483001196
223,3.7236718640646216
224,5.065091308382686
225,3.2215892914924558
226,8.098692339718882
227,4.756438810462408
228,5.393224316861995
229,8.728962025804138
230,8.410598662049763
231,9.863823562062864
232,12.115238091353206
233,7.978804728778656
234,7.3079829884769
235,8.930860566854024
236,7.746082194728667
237,8.57647561926833
238,8.536682806178979
239,9.36919195960003
240,9.692564854645946
241,11.744481468697716
242,10.469312105683754
243,8.956454120999366
244,7.207500468174727
245,11.580175557419274
246,9.795360941176966
247,10.154787540725515
248,9.861048485627874
249,8.760613867748406
250,4.714952346877432
251,1.5249109134511587
252,6.6009101357409445
253,5.624387648988225
254,5.503316906218365
255,5.7642936635938735
256,4.554146414298355
257,5.80427633430868
258,4.8461495364165685
259,3.095195332220336
260,3.7620169055618855
261,3.5628368611561068
262,3.50733152162025
263,3.54940976478808
264,3.411187794451352
265,3.754702281840392
266,4.601724222748689
267,3.477948360439695
268,3.4779327586644606
269,7.240848753507596
270,11.219300988000633
271,9.938153455288376
272,10.37269913089895
273,10.888114642665506
274,10.772721211210152
275,9.227044922064582
276,8.830775473500468
277,11.135868762474631
278,11.017925700763927
279,7.488791025796463
280,4.252098880708672
281,4.862519706860502
282,7.442297083440083
283,5.981452449603399
284,3.949222246385952
285,3.4701117892664204
286,2.255675991202805
287,4.551451974515004
288,3.498528286209645
289,7.774021664850372
290,6.212134965583804
291,8.281599779148287
292,4.660917630563918
293,5.941929722358803
294,6.32150250231219
295,5.344122449838191
296,8.350148066471283
297,6.722467387522546
298,6.57139839462845
299,6.6228100796926865
300,9.6603181665413
301,9.636821160948355
302,8.007593201660784
303,9.525007792939336
304,9.976270529009257
305,12.79613846160868
306,8.48167673201638
307,9.808993521710317
308,9.756040968111744
309,10.70135628664273
310,11.862326258675667
311,10.429334140270928
312,9.970726320334771
313,10.315038409118106
314,11.425026957537348
315,10.729691048068528
316,10.675244615379794
317,10.579545133525354
318,11.501912675429026
319,6.587493091980999
320,5.515928162395863
321,8.532828268790286
322,10.137510233271083
323,4.963831663125782
324,5.739058860524389
325,8.443179408971636
326,6.680124334223313
327,8.189170720926894
328,5.46681192418634
329,13.02792298096058
330,8.23153188083738
331,8.428737892953977
332,9.513145790493356
333,8.877742936799606
334,8.353468721255288
335,8.049899285889705
336,9.123220302358225
337,8.73746030328097
338,7.99044567495456
339,9.490212760474675
340,6.726813153481901
341,7.958443646482515
342,7.742993247294932
343,6.611566069648122
344,6.038236308314282
345,6.381405208417322
346,9.333283479336322
347,7.487808057051774
348,6.731030404167604
349,8.918911922014589
350,6.390022882805352
351,6.92203466867377
352,6.282567831666773
353,5.933956560065768
354,8.003553861566283
355,7.138687456207117
356,7.362476474960069
357,5.892570235759212
358,6.82667536072342
359,7.009450600942875
360,11.540205907964934
361,7.137942030265304
362,9.372100642480872
363,11.89526315397005
364,11.874606754944482
365,14.036286439693926
366,9.63443904110451
367,11.888494697526367
368,11.25263318371767
369,4.486307606327015
370,3.9361925037924093
371,8.287368616306537
372,8.074101319418677
373,3.942858207563876
374,0.19840133225965537
375,3.167053131892922
376,2.337341555723075
377,2.660791343287116
378,3.90038230902391
379,1.767987677655601
380,3.938216657544802
381,6.409417916191327
382,6.096620023488117
383,3.914371457964872
384,6.188647799030396
385,3.855879568887349
386,8.845156224896598
387,3.0186554114720647
388,3.85827933149592
389,10.275334760794609
390,10.650347099886176
391,10.110081425435494
392,11.621514999011465
393,10.695993614500262
394,11.251393695903102
395,10.123573560422843
396,8.980878108212117
397,10.452173422769718
398,9.398930294907801
399,8.563048997408158
400,15.022512153774894
401,9.748575559782871
402,8.878894428559228
403,14.62057183782878
404,15.133982571737382
405,10.894209507684682
406,15.940901908962392
407,16.143240170806894
408,11.922877270177505
409,4.011666733165457
410,3.2548815315916064
411,5.603248626643372
412,6.787422678881459
413,3.200359137698106
414,3.237591794694665
415,3.218458913694411
416,6.21478373072897
417,3.127590470945131
418,3.235900978778242
419,11.204032097284896
420,3.0286461719043847
421,4.877136489444096
422,3.015913161897217
423,2.9645905671700357
424,2.893861761606194
425,2.9727243383303894
426,4.1881440478809875
427,2.7598386282109173
428,3.0113462355841274
429,5.092352851831028
430,6.498144883720893
431,7.915659851246261
432,7.404933026458391
433,6.665165364930217
434,9.720737468818287
435,6.796717286604115
436,5.447184966007642
437,8.176733016062295
438,6.6087459315561325
439,9.596321525076755
440,4.117851485219473
441,5.219049934304009
442,11.824905253371755
443,5.486594126697022
444,6.605313345133481
445,4.953675052774373
446,4.626556260352546
447,3.3682912257994837
448,4.831788205664064
449,4.432422044797304
450,4.593323056230201
451,7.396873091233858
452,3.908323719786628
453,5.067064237949008
454,4.067925841111831
455,8.19933331860962
456,6.653527167333315
457,6.502795376698488
458,5.7107378023989455
459,7.50172097246739
460,8.667739908367073
461,5.047531489836973
462,9.581049325677336
463,8.660961826890166
464,8.723363536874958
465,8.04055127607896
466,8.188437118148359
467,8.701459962674964
468,9.118191832683301
469,6.556914220958667
470,10.911407341418984
471,9.107121974291406
472,8.861142997926983
473,10.24329713690248
474,12.063939795062675
475,11.003252043478744
476,9.464925375454706
477,9.977516228252876
478,11.01628693923356
479,6.780397239272066
480,3.1903133181392027
481,7.56062302041367
482,6.8523921240358545
483,2.6445892948393808
484,3.9597096873597533
485,2.5552053548891687
486,4.8778847203062865
487,3.7948684875602994
488,4.392437102681183
489,8.278328865960683
490,9.277133475115798
491,4.094773653996854
492,10.712940091665526
493,8.339052991838122
494,5.048547725386181
495,9.273122014403118
496,5.423022164412283
497,8.892497918813142
498,8.395205434038342
499,2.1557587041134076
500,6.763156719769826
501,9.57670519887505
502,12.261272272814672
503,6.3574036052187175
504,6.538600641693182
505,5.703569610289057
506,6.6259291679672785
507,5.211308721631297
508,6.589492154090704
509,10.465805514467222
510,10.756362742368013
511,9.557122255519182
512,7.680483953409383
513,10.853827630193424
514,9.976526957020676
515,10.590110285121979
516,10.408520898746666
517,8.281107796059182
518,9.827129549865143
519,7.573733642995974
520,9.240492706545604
521,7.156999540415488
522,7.3999236479316135
523,8.1726012641803
524,7.460450901225444
525,7.970645954198841
526,9.245321056626576
527,8.625078306927923
528,9.30014169365901
529,6.2969401906924025
530,3.1089449457042924
531,11.115302987121057
532,2.9476781847424554
533,2.978560702529919
534,2.9667962066860705
535,2.931196789063217
536,3.054301596470172
537,2.920137243315683
538,2.943158513256784
539,9.301753082830604
540,12.164637492288003
541,13.81816125948593
542,9.873787851401367
543,13.35718393319371
544,12.112951304243904
545,11.9507953232245
546,9.079754605997563
547,12.456987002241478
548,12.856877260047318
549,6.032209062384843
550,4.915832617429088
551,2.623533693476635
552,9.514314786301522
553,4.607702642500967
554,5.371558374869416
555,6.180443707700129
556,6.695127376862813
557,4.682262000035203
558,4.360605628522569
559,11.886367218036595
560,7.288362124003131
561,11.925900698589484
562,9.193136406286028
563,5.4085440745810285
564,6.261725877157168
565,6.8184371919007685
566,5.9460538240300345
567,7.153948386626387
568,7.033288106106748
569,7.311869018097049
570,11.770034870968393
571,11.979410827126074
572,12.353941622526033
573,11.4794785032886
574,9.46223329112052
575,11.600343044076046
576,11.465801713825657
577,11.575896153016153
578,11.699216816506537
579,5.403553659678265
580,8.952420045270097
581,13.283998030491723
582,3.935875300684935
583,8.4462082174402
584,9.038015509164017
585,7.1388314225255405
586,3.3429882812414218
587,6.243890884441097
588,7.507938990697238
589,5.600396500508494
590,8.972887552308018
591,4.065296637921786
592,11.228390912201277
593,8.119816627795354
594,8.593714090215341
595,7.506986233368853
596,9.293439352360549
597,7.302007017998737
598,8.227214989486624
599,10.361026724998554
600,12.279040568129327
601,11.934194494129839
602,13.23335900154908
603,12.699284862778269
604,12.70100858348568
605,12.452422477028271
606,18.777073486272677
607,15.518746161433375
608,12.801852880312449
609,17.511470750277574
610,3.5881052407005374
611,1.5332672526734588
612,4.351956396106933
613,3.5500371291695068
614,5.808234007556226
615,4.117229443971086
616,2.814519118508765
617,4.093331647449024
618,3.8635215683914006
619,3.585834283855008
620,9.965042129575645
621,6.728212668691293
622,8.762964515539817
623,8.777424640053304
624,9.076206392423764
625,11.143562700267864
626,10.971573559089826
627,10.069192270793339
628,10.117671813597157
629,8.904654693433994
630,8.901011837293956
631,8.396884361705066
632,4.654236881071856
633,8.351152445535522
634,9.555523248193524
635,7.632526501220913
636,9.146621233136582
637,9.24174580301649
638,8.582642190327682
639,3.743548987879074
640,6.794959232983427
641,7.045784203720524
642,15.537216752081575
643,7.392004188356851
644,7.975413758287039
645,6.745577964465963
646,6.470717753343259
647,9.127291453400913
648,5.566513189703063
649,8.386296549562193
650,10.16165231845073
651,11.012828897572847
652,12.259550711613603
653,10.618762881670786
654,9.801530646533953
655,10.293739139967592
656,10.927013075663186
657,11.429358250682364
658,10.43554605489901
659,6.209691188652359
660,6.7872918432753675
661,10.395727937481148
662,9.06659730247164
663,7.800145053111172
664,7.722850448252194
665,9.843581970155222
666,5.141597890301248
667,6.562771437365518
668,7.077684178329424
669,10.126639679180592
670,6.40337225454095
671,9.682167579216983
672,5.415294122484374
673,7.044014937321667
674,7.583744404215723
675,4.59595474897605
676,8.153660561005223
677,6.931563855575064
678,6.293905420665033
679,8.629368916383786
680,4.825426170576425
681,3.8823325469282888
682,0.7905577274913176
683,4.377136665330208
684,11.929693277953552
685,4.598545827541261
686,5.306668038525529
687,5.527542222089591
688,4.666016180430362
689,10.58452303835691
690,4.623321120353285
691,7.569429553590912
692,6.656847695533128
693,4.104186832823442
694,4.269630428806858
695,5.2227147017501645
696,3.157358302895611
697,4.434755790356155
698,5.126404793068617
699,8.46433273905566
700,5.838721042236582
701,11.203321304975649
702,4.407613815641237
703,6.439470842779501
704,8.1745489909373
705,6.781069529025545
706,4.966717255313823
707,6.421115504396767
708,5.1643923903030915
709,10.15506762977328
710,12.314184948047922
711,7.198695998355095
712,7.8619918052838385
713,9.998356646432583
714,8.640890438162128
715,9.698571142425354
716,10.958416763385541
717,10.256524654040279
718,10.448414085903458
719,3.2883879342762636
720,11.270416050034983
721,7.7103793065631
722,7.573763050717837
723,10.945211280416375
724,8.719269879509032
725,9.39966008654641
726,10.83169564923168
727,11.070088001296616
728,12.258163969083373
729,6.173898857045587
730,10.141647254525584
731,8.166159643332774
732,11.681001291624872
733,9.99619337423069
734,11.716151585533275
735,9.182679905573584
736,5.724962877059822
737,9.69171119061382
738,10.027768220383306
739,10.841713443573125
740,4.7783114592502125
741,16.056988999481955
742,5.096513525791203
743,5.138977068229523
744,6.359435132764759
745,4.363129395074823
746,4.7436358709435344
747,5.193197449229205
748,5.003300436433049
749,12.430384079053006
750,8.577225142027766
751,5.247662136335874
752,6.8867078508312725
753,7.787826332459157
754,8.740486307195882
755,9.351233906176192
756,7.340006811159445
757,8.696785999529483
758,7.6733694336463865
759,2.800980353627328
760,9.241709716390863
761,9.673087523152171
762,9.120797099286243
