,gini
0,0.7201772730013396
1,0.7992984905108172
2,0.7059513138725658
3,0.6856513745275442
4,0.6915752630962261
5,0.6420092368451499
6,0.7500384260681092
7,0.720237685487402
8,0.7646733755896507
9,0.8801769749433914
10,0.7322480189370789
11,0.7339359716103049
12,0.6794686043086329
13,0.6997081439016907
14,0.7591464589666118
15,0.7093068118194026
16,0.7440097790345314
17,0.6902340497997015
18,0.7322073196128763
19,0.6437285473588535
20,0.7016534747910518
21,0.6614262097578255
22,0.6737939746065987
23,0.7327734347630461
24,0.7170340730082562
25,0.7305710504493143
26,0.7186644498104763
27,0.7319624609068315
28,0.7106829473335291
29,0.5661556781959304
30,0.5924238507281029
31,0.6963035532821901
32,0.6611761306367422
33,0.61931573871748
34,0.6441177419794096
35,0.6116555533019158
36,0.5850523351151115
37,0.6338950044966146
38,0.5785509843408685
39,0.8227261245701859
40,0.7002914451476663
41,0.6535426957579703
42,0.669227037838168
43,0.7047867288983587
44,0.7138511631041955
45,0.6543749971410364
46,0.606296377948213
47,0.6763538288169078
48,0.6435965537094357
49,0.748622244720494
50,0.7235542638534624
51,0.6948451516853047
52,0.7663420964343336
53,0.7273063734871689
54,0.7164732338723389
55,0.7179300486153201
56,0.7123406320992492
57,0.7258109590433419
58,0.739933895739374
59,0.6866033805349948
60,0.6718959945885925
61,0.7098706206231997
62,0.6804321204092366
63,0.6561386675714437
64,0.6649425318117325
65,0.6809472997324504
66,0.7303181443373757
67,0.6744262100951507
68,0.685444393373764
69,0.8314166863582054
70,0.711884374461951
71,0.7350184285069903
72,0.7135877386767189
73,0.7216152272143231
74,0.678500044146282
75,0.6742159067860972
76,0.733295887792108
77,0.6944583928669649
78,0.7001446385355407
79,0.6468914698361954
80,0.709020375782983
81,0.7442424280074518
82,0.7137805261286063
83,0.678086609378198
84,0.835962203645193
85,0.6855565778999538
86,0.7249286966485087
87,0.6728536164536079
88,0.7030518801480452
89,0.7167258688839461
90,0.6923175650467236
91,0.6986655711658484
92,0.6726881365802423
93,0.6860797441927491
94,0.7053611015106633
95,0.6880606686621128
96,0.7112289989376258
97,0.7124561819062096
98,0.6906750184653419
99,0.6840002846703621
100,0.7751548249225879
101,0.7504732416931708
102,0.832017184986839
103,0.7847926567603667
104,0.7281238051889427
105,0.7761306785552412
106,0.7959560365107519
107,0.7632850852176967
108,0.7722478506657884
109,0.8243369413149378
110,0.6982870830718629
111,0.7344747323470803
112,0.7093176165691922
113,0.7325308309236523
114,0.7518468478023642
115,0.7361080003117556
116,0.6934373639066339
117,0.7191069935947143
118,0.7296190906036436
119,0.630880024268979
120,0.6136381182647207
121,0.8091830517430633
122,0.6187517901533897
123,0.6237727021517464
124,0.6534177312769861
125,0.625510883522097
126,0.612196020784245
127,0.615311922028154
128,0.6270751505179283
129,0.7351693109183949
130,0.7932277267623612
131,0.7110920801421424
132,0.7830423391810837
133,0.7802814958696962
134,0.7046467867112183
135,0.8042427451808766
136,0.8601437245842392
137,0.7851779348093132
138,0.7803097028408873
139,0.720047920765839
140,0.6941204442535254
141,0.6114778241046458
142,0.6850745515215698
143,0.6617247599141501
144,0.6781800844033604
145,0.6722866349769618
146,0.6518018401443615
147,0.6785721271576046
148,0.6980785372762929
149,0.6528639897241175
