,modularity
0,0.471978162658484
1,0.7052927461312262
2,0.5112424689207584
3,0.4778244800163583
4,0.4940719004025653
5,0.4699221779579106
6,0.4791721612649158
7,0.43102473110153905
8,0.4756051249012495
9,0.6692154684224317
10,0.6969998564229265
11,0.5727467961633628
12,0.5793777168528945
13,0.6905644690549744
14,0.6899114539544152
15,0.6346375833765756
16,0.6820170258262719
17,0.6983042092272613
18,0.6923287498090346
19,0.6360273681210505
20,0.6426780400979659
21,0.5046925846037466
22,0.537012377817795
23,0.6428966497581504
24,0.6061785627284867
25,0.6376047529702749
26,0.6951319835430503
27,0.6496697590208329
28,0.6393606835010268
29,0.6596024704191243
30,0.6317641470234712
31,0.5041254470369935
32,0.6492734247217611
33,0.6415056716943113
34,0.6111147339845565
35,0.6287346849262934
36,0.639094274379496
37,0.5802313820647966
38,0.6192768958270457
39,0.5135712435188706
40,0.5386124275375948
41,0.5913181239091169
42,0.5291109943072225
43,0.5192074667889875
44,0.5233908467036076
45,0.5338733807854463
46,0.5711183899318832
47,0.506662158135876
48,0.5271976906680743
49,0.4687959317961327
50,0.5509617822718261
51,0.5011542085507144
52,0.6231147412896111
53,0.546249713334488
54,0.5726557157141036
55,0.5485925214204345
56,0.5150669491586571
57,0.5500591550617133
58,0.5496546813729697
59,0.5657039414866178
60,0.655309361746212
61,0.6069519786456434
62,0.609100300920181
63,0.6566763991799546
64,0.6508776806734995
65,0.6706601586168582
66,0.6627703614703018
67,0.6491277762618368
68,0.6520188711411052
69,0.6098583863493046
70,0.5755053177572147
71,0.5516118593738889
72,0.6392396785693082
73,0.5784783605487687
74,0.5770934324680289
75,0.562780488544872
76,0.568146097157599
77,0.6738210179262523
78,0.5828564549313862
79,0.6697296619925754
80,0.5336
81,0.5132027847825723
82,0.47934629878839796
83,0.480257116620753
84,0.6337868480725622
85,0.5249702734839478
86,0.5387523629489603
87,0.480257116620753
88,0.48025711662075293
89,0.4825723134583245
90,0.6655909386164987
91,0.4979839091439129
92,0.6306885043506757
93,0.6949734809926191
94,0.6996994934287406
95,0.6835725828342614
96,0.6779732833152057
97,0.6621025197328331
98,0.6683969143532605
99,0.49747793654402483
100,0.49721060050961374
101,0.609514235192667
102,0.4710027086252772
103,0.500995997764453
104,0.5069395323198126
105,0.5033903162882694
106,0.5050474804125494
107,0.48843394700591025
108,0.4875524927266037
109,0.523861086465111
110,0.6913694880659749
111,0.6174689781718976
112,0.538638335173663
113,0.6904966211653494
114,0.6933810382607366
115,0.6855674250588515
116,0.6559907540176215
117,0.7131798331681976
118,0.6896883728881553
119,0.5264458513698091
120,0.5207285225806563
121,0.5399540781410979
122,0.6009172401540693
123,0.5531993891172994
124,0.510671968370856
125,0.5555801362280376
126,0.5398381815607541
127,0.5513940324858712
128,0.5364379655081438
129,0.6532907233099703
130,0.45258590029017237
131,0.5752250547116842
132,0.546419008707706
133,0.49857464668404883
134,0.45660978918661316
135,0.5478555375889194
136,0.551087549399806
137,0.44100273880061686
138,0.5161780745515342
139,0.5128977102012637
140,0.6827402925429096
141,0.5078255845873042
142,0.7070224040254885
143,0.6784734657230287
144,0.7033121827052138
145,0.6821309939839179
146,0.6444460646598527
147,0.6840011197805933
148,0.6830365540765369
149,0.4788057580639859
150,0.6750965522385602
151,0.5840270458586855
152,0.5851780297773834
153,0.6013855242228167
154,0.6586229541479665
155,0.6757647480320098
156,0.6736393526869742
157,0.6827509750799788
158,0.6487025222369119
159,0.5389071485238874
160,0.5187240926119856
161,0.5508839484901117
162,0.480276339098508
163,0.4846541600299903
164,0.5879721356555248
165,0.5340206405206034
166,0.5137268348707489
167,0.5186125562121295
168,0.49163267866029364
169,0.6183310907770658
170,0.4791760295793648
171,0.5444725095678514
172,0.5956131905961783
173,0.4637156490573846
174,0.4639373901868358
175,0.4582936298366167
176,0.5730419501171767
177,0.4828743357465075
178,0.49867891774994155
179,0.5530917053294718
180,0.5413954668917209
181,0.5566487004254884
182,0.48363561797271426
183,0.5422539648966882
184,0.5364125644657795
185,0.5377278739512457
