,output_welfare
0,1.8393324226926973
1,0.011726437646465901
2,1.7397465552179108
3,1.8181176475761545
4,1.9553151491939418
5,1.6042941166018159
6,1.7865307174927219
7,1.7859196679310587
8,1.8758940173200047
9,0.0118885948602852
10,0.011551707218136073
11,0.011561999102791464
12,0.011819184195582444
13,0.011606652538542062
14,0.011576185882531141
15,0.011672529573089499
16,0.011517939590256387
17,0.01120048798030084
18,0.011497940392973704
19,0.011406517269011178
20,0.011157781271349351
21,0.010868788343513602
22,0.011073368779030477
23,0.011213831897061884
24,0.011127481683035421
25,0.011246698810526971
26,0.011204521537369313
27,0.011102231801927917
28,0.011143348660846571
29,0.010852992982183953
30,0.012151507946138666
31,0.011865150982580105
32,0.012065220664145246
33,0.011891275050663053
34,0.01199867139731076
35,0.01163489782049436
36,0.012050631243897625
37,0.011981677310413904
38,0.011997280704984122
39,0.01161954183044558
40,0.01132550424401006
41,0.011142057173352706
42,0.01140648570996866
43,0.011300369545382653
44,0.011410850138594828
45,0.011154044896196333
46,0.011418625590389841
47,0.01223527347380454
48,0.011557780359247453
49,0.011563785221895872
50,0.011445407915645881
51,0.011786946755010885
52,0.01160229377228571
53,0.01158593826161353
54,0.011562748299854228
55,0.011379962573378736
56,0.011438756808197538
57,0.010992503505721833
58,0.01154094793370747
59,0.011134395210626966
60,0.011339078220532121
61,0.011524996957209684
62,0.01155675236795003
63,0.011317652760681415
64,0.011434389038807547
65,0.011835579743862075
66,0.011327008521070417
67,0.011471240927717466
68,0.011512900429976243
69,0.011815659307218215
70,0.011890076937835963
71,0.011848868762398464
72,0.012123216266917756
73,0.01184992879769643
74,0.01194670237944251
75,0.011756986734741574
76,0.011840400308143076
77,0.011763719867923041
78,0.011932700659023179
79,0.011787695252508286
80,0.010957283659967863
81,0.010833446130199036
82,0.010823527981757319
83,0.010967032655779582
84,0.010943650940163458
85,0.01094173525116451
86,0.010989104068758344
87,0.010954368190933287
88,0.011045242267415682
89,0.010736073837755614
90,0.011639478402262392
91,0.011835287122088655
92,0.01158384513989554
93,0.011604745023681036
94,0.011901515946499821
95,0.011472892550723701
96,0.011811572231569882
97,0.01185622668753897
98,0.011384954944626055
99,0.011862773049235895
100,0.011479306648049678
101,0.011510667595142243
102,0.011410568174865509
103,0.011260419239676314
104,0.011413594187709633
105,0.011144835915199956
106,0.011290176746786007
107,0.011798211288445463
108,0.011230353018516307
109,0.011825338421703177
110,0.01151539543765395
111,0.011587155530750912
112,0.011600559924650642
113,0.011628447633723768
114,0.011613936112063914
115,0.011863621976909619
116,0.011620584881800726
117,0.011058954673113505
118,0.011591910979600564
119,0.011348150679445087
120,0.011495181356400052
121,0.011718761619179865
122,0.011646205635233466
123,0.011680460496678324
124,0.011454027949394532
125,0.011593012421727422
126,0.011541702000877892
127,0.011574234634183141
128,0.011647753361313708
129,0.011630534460479094
130,0.012009109593797671
131,0.012019562551507268
132,0.012066636212700668
