,output_welfare
0,6.427321269824882
1,5.32947505470223
2,5.561571487861045
3,6.345511144173856
4,6.541940599597759
5,5.258800149915728
6,3.9073148529194506
7,5.573499034516861
8,4.608598429311765
9,8.497788163043005
10,6.403888539106101
11,5.268356926196657
12,6.061909309472431
13,6.264439044606004
14,6.688435602772955
15,6.995548709680045
16,7.402296867303655
17,6.124885478483611
18,7.267776653322287
19,3.8458302109747615
20,3.1231584212588257
21,3.0150348908761857
22,7.385367362612745
23,3.3806463192787874
24,3.2728694935969043
25,3.583363052649708
26,3.496497155153915
27,3.099294729058915
28,3.2209740118809096
29,6.012440653871984
30,12.509408996259937
31,11.168441046491546
32,7.695756765097029
33,15.548950718350625
34,12.173105482473446
35,9.672875018289066
36,12.01493400699408
37,10.77212931529101
38,13.336916506468254
39,5.93201498261178
40,17.593975810294797
41,12.450748007640552
42,9.428083557537583
43,16.39874696259213
44,17.803306050534374
45,15.76386619528553
46,13.124620589426288
47,16.870109847811072
48,18.602352463914
49,7.909623820630606
50,5.512372873034723
51,9.593570519582242
52,8.198637996807017
53,5.4206493501267365
54,4.239023208205046
55,4.662184286480046
56,4.496550235774326
57,5.4956307317182285
58,5.256335882365716
59,8.663081251141104
60,7.610656454399241
61,4.38769828540065
62,6.029745015509746
63,7.434260744896745
64,7.622026127803961
65,9.069754575695026
66,11.532451083839883
67,8.048920814834943
68,8.065393114342681
69,7.546990191974739
70,8.916067739118388
71,7.725679769151546
72,9.667720112203563
73,8.892127516664331
74,10.3746334974575
75,8.34483261783558
76,7.426991319231547
77,9.086610007229536
78,9.176934761219908
79,6.967262836196085
80,5.064976167918196
81,3.4508870397933973
82,4.885143787675312
83,5.020074434034455
84,5.206556350879645
85,6.575992439922887
86,5.707470456130294
87,4.674304542669721
88,5.118278027111051
89,6.249231068421329
90,8.77322535972659
91,9.329218115792196
92,8.377828310609104
93,8.170655412673176
94,7.851004952210917
95,8.200601268918323
96,10.285695309724538
97,7.908083535584149
98,7.930135034755792
99,10.369494087663464
100,4.172798922149548
101,3.382951652257799
102,1.1074502741206773
103,4.0605140848895385
104,4.130019947819709
105,3.808011858913581
106,4.652386859301891
107,4.192422083620961
108,4.374470389241697
109,8.074491810768208
110,8.63263344640684
111,7.771876784262137
112,13.120516830934944
113,8.836843490024608
114,7.816096638066607
115,11.752752042332217
116,7.110140811628668
117,8.878021438309933
118,9.085805906447714
119,9.594045471300937
120,12.683350422252179
121,13.67051250759041
122,9.406293544187388
123,13.311491090746628
124,13.250184495467758
125,12.791364004261075
126,11.880208392962485
127,11.774742425592583
128,13.12985911981963
129,8.433111447063315
130,3.2669697794487482
131,4.740591958786796
132,4.074759035302473
133,3.2834503811478415
134,2.1306867858417586
135,3.2240174090323674
136,4.045682039809096
137,3.3581472548540847
138,3.2414197071195363
139,5.602047670079123
140,9.204086186277662
141,4.155249264402425
142,11.271408075367937
143,9.505898763963648
144,9.649750462830594
145,8.003650327543905
146,9.018581098230959
147,10.383558307955061
148,10.214634710651085
149,5.84729440926771
150,8.25652035825663
151,8.110003032728507
152,6.719354890253789
153,7.597007462007316
154,9.154287972711492
155,9.36814869511314
156,8.000184223089247
157,7.341930007265144
158,6.794199390276873
159,10.273617996227967
160,6.078287495211823
161,11.718194410801573
162,11.49479545063197
163,5.219283408809589
164,4.779593017416006
165,4.926269868043472
166,7.074910439810103
167,6.008407343544899
168,5.065200152144474
169,11.938850968260423
170,7.00822721407261
171,6.0951584044297125
172,10.704609687852477
173,6.702991643860673
174,5.497261028912705
175,8.255797879429155
176,6.544566611718222
177,4.044014868915555
178,7.618199374769852
179,3.132499525350065
180,10.071612568577644
181,10.924375042992926
182,9.689018951889848
183,9.699098967948496
184,9.336045724786628
185,11.001355226392752
186,10.32289251404376
187,10.037928904912725
188,10.184450936586083
189,8.770418714241002
190,5.648133288088887
191,5.8300435367049435
192,11.46715848823815
193,6.262835279443967
194,5.898576120691975
195,6.206546920075634
196,5.716662170651663
197,5.870558731896716
198,6.4134469980783
199,5.847746015541406
200,8.617341532632029
201,7.408467040455374
202,7.025061946591109
203,9.905328418762192
204,10.855768653890733
205,6.211589487141994
206,9.839647152001058
207,9.297807986471451
208,9.22944820087897
209,6.437667724268478
210,3.523308570215684
211,7.711177793461002
212,3.4985771313398755
213,3.644531044339629
214,3.3359947499585076
215,4.019162483693504
216,3.8502554252948267
217,3.3978937720187194
218,3.5384199426380483
219,11.63584649826218
220,2.4135302128432055
221,9.263641940279697
222,3.490175380036766
223,2.363753271558887
224,5.049880383726033
225,3.228567627314302
226,2.927995778006644
227,4.502538722122465
228,3.3711698782851083
229,7.794507494523674
230,9.755409564134906
231,3.8500255912967423
232,11.12363992341521
233,10.992770980886117
234,12.287970719391843
235,9.038557414602467
236,11.958515895252114
237,10.631766545019518
238,10.833370822953498
239,11.89372452404555
240,12.298779177355762
241,8.597770544386172
242,6.1644220971258905
243,12.21130781914777
244,11.066921293045027
245,13.868482547507083
246,12.22413760469763
247,11.438399333690732
248,12.551857235771921
249,7.372460181353606
250,13.279773401734499
251,9.89777049562487
252,9.651457978420664
253,12.62922719832274
254,9.983377126357531
255,9.426160542291624
256,14.244506357818292
257,12.309745374312556
258,13.277813362286762
259,7.1637425766758875
260,4.354541659369777
261,9.61727576919159
262,4.3808230926860015
263,4.344087980163312
264,4.263517613563165
265,4.865413286392451
266,3.7049705848693257
267,4.39570893208638
268,4.337986306349358
269,7.981159414872474
270,4.420336976188427
271,1.6898182130944632
272,7.29305764241652
273,4.488847275464195
274,7.458897539037959
275,5.094093085722302
276,5.139594502615966
277,4.224184122990202
278,4.3112521896959555
279,9.495723054685378
280,3.571389067387523
281,3.8597899631698596
282,6.545842269041855
283,3.6398580053082807
284,6.9961076909375555
285,5.4449667947646345
286,4.297736025942598
287,3.8084455718949193
288,3.968811044331313
289,12.181688086917651
290,11.290262301906445
291,10.885559455819182
292,6.092730853241227
293,11.134667920582093
294,10.684909566008299
295,9.926959053501745
296,9.482287970484549
297,10.562301838650443
298,10.641280969243148
299,3.7678913194081445
300,12.351568699835857
301,11.598444427674858
302,12.33423831848066
303,12.27716057164882
304,12.420727283387448
305,11.779876261719142
306,13.548951177715749
307,11.72709735691281
308,11.108404549083943
309,11.313721405649074
310,12.700744299825361
311,11.019096662833045
312,11.75097982664177
313,11.940839053096889
314,7.910080494312389
315,11.334996724488791
316,11.512063063261905
317,8.253912579837264
318,8.235800274597077
319,10.551760887376965
320,9.00752821068855
321,3.695320271361238
322,5.464975138212931
323,8.063310136096469
324,5.892845140747926
325,8.291224588358418
326,7.551426145549671
327,8.364189357140363
328,9.474322567876275
329,4.8806108168665165
330,7.3917705064479495
331,6.885990070024158
332,5.624620737427672
333,8.111518970366449
334,9.01113731299686
335,7.494347850967493
336,8.26179896788797
337,8.809591315138015
338,7.605969198529766
339,7.405141294909292
340,9.677469288406735
341,8.434348098940122
342,13.263114228107849
343,10.559009341486592
344,9.855470461772747
345,11.909707613041995
346,7.376368522001417
347,10.97041331375128
348,9.984591717500487
349,12.516237688058887
350,8.094393776339642
351,8.364877310372385
352,6.863938785735155
353,9.830201411485204
354,7.765824497726531
355,6.6477520843518505
356,8.764849702921836
357,8.226408796603007
358,8.910843221910019
359,7.16959588185538
360,10.789318195618
361,10.947732551144409
362,8.000807299623988
363,9.25833387806276
364,11.017669777777039
365,10.802887886382344
366,11.70812278773659
367,11.405076472308522
368,10.894942047533876
369,8.30071456507519
370,3.8989557036735
371,8.805190885324802
372,7.998256601752082
373,3.789655391723645
374,3.94260173400579
375,3.834479992678903
