,modularity
0,0.5783999999999999
1,0.52587890625
2,0.5777777777777778
3,0.5880177514792899
4,0.5407986111111112
5,0.5848
6,0.5892857142857143
7,0.512
8,0.5939349112426036
9,0.52587890625
10,0.48688271604938277
11,0.48688271604938277
12,0.48688271604938277
13,0.48688271604938277
14,0.48688271604938277
15,0.48688271604938277
16,0.48070987654320985
17,0.48688271604938277
18,0.48688271604938277
19,0.48688271604938277
20,0.52587890625
21,0.48688271604938277
22,0.52587890625
23,0.52587890625
24,0.52587890625
25,0.52587890625
26,0.52587890625
27,0.52587890625
28,0.52587890625
29,0.4868827160493827
30,0.48688271604938277
31,0.48688271604938277
32,0.52587890625
33,0.4868827160493827
34,0.48688271604938277
35,0.48688271604938277
36,0.48688271604938277
37,0.48688271604938277
38,0.4807098765432099
39,0.52587890625
40,0.52587890625
41,0.48688271604938277
42,0.48688271604938277
43,0.52587890625
44,0.52587890625
45,0.52587890625
46,0.52587890625
47,0.52587890625
48,0.52587890625
49,0.4868827160493827
50,0.52587890625
51,0.48688271604938277
52,0.52587890625
53,0.52587890625
54,0.52587890625
55,0.52587890625
56,0.52587890625
57,0.52587890625
58,0.52587890625
59,0.52587890625
60,0.52587890625
61,0.52587890625
62,0.52587890625
63,0.52587890625
64,0.52587890625
65,0.52587890625
66,0.52587890625
67,0.52587890625
68,0.52587890625
69,0.52587890625
70,0.48688271604938277
71,0.48688271604938277
72,0.48688271604938277
73,0.48688271604938277
74,0.4868827160493827
75,0.48688271604938277
76,0.4807098765432099
77,0.48688271604938277
78,0.48688271604938277
79,0.48688271604938277
80,0.48688271604938277
81,0.48688271604938277
82,0.52587890625
83,0.48070987654320996
84,0.48688271604938277
85,0.4807098765432099
86,0.48688271604938277
87,0.4868827160493827
88,0.48688271604938277
89,0.52587890625
90,0.48688271604938277
91,0.48688271604938277
92,0.52587890625
93,0.48688271604938277
94,0.48688271604938277
95,0.48688271604938277
96,0.4868827160493827
97,0.48688271604938277
98,0.48688271604938277
99,0.52587890625
100,0.52587890625
101,0.52587890625
102,0.52587890625
103,0.52587890625
104,0.52587890625
105,0.52587890625
106,0.52587890625
107,0.52587890625
108,0.52587890625
109,0.52587890625
110,0.48688271604938277
111,0.48688271604938277
112,0.52587890625
113,0.48688271604938277
114,0.48688271604938277
115,0.48688271604938277
116,0.48688271604938277
117,0.48688271604938277
118,0.4868827160493827
119,0.52587890625
120,0.52587890625
121,0.52587890625
122,0.48688271604938277
123,0.52587890625
124,0.52587890625
125,0.52587890625
126,0.52587890625
127,0.52587890625
128,0.52587890625
129,0.52587890625
130,0.52587890625
131,0.48688271604938277
132,0.52587890625
133,0.52587890625
134,0.52587890625
135,0.52587890625
136,0.52587890625
137,0.52587890625
138,0.52587890625
139,0.52587890625
140,0.52587890625
141,0.47086368366285114
142,0.52587890625
143,0.52587890625
144,0.52587890625
145,0.52587890625
146,0.52587890625
147,0.52587890625
148,0.52587890625
149,0.4658203125
150,0.48688271604938277
151,0.48688271604938277
152,0.48688271604938277
153,0.48688271604938277
154,0.48688271604938277
155,0.4807098765432099
156,0.48688271604938277
157,0.48688271604938277
158,0.48688271604938277
159,0.48688271604938277
160,0.48688271604938277
161,0.52587890625
162,0.48688271604938277
163,0.48688271604938277
164,0.48688271604938277
165,0.48688271604938277
166,0.48688271604938277
167,0.4868827160493827
168,0.48688271604938277
169,0.52587890625
170,0.4868827160493827
171,0.48688271604938277
172,0.48688271604938277
173,0.48688271604938277
174,0.48688271604938277
175,0.48688271604938277
176,0.4868827160493827
177,0.48688271604938277
178,0.4868827160493827
179,0.48688271604938277
180,0.52587890625
181,0.52587890625
182,0.52587890625
183,0.52587890625
184,0.52587890625
185,0.52587890625
186,0.52587890625
187,0.52587890625
188,0.52587890625
189,0.4868827160493827
190,0.4868827160493827
191,0.52587890625
192,0.52587890625
193,0.4868827160493827
194,0.48688271604938277
195,0.4868827160493827
196,0.4868827160493827
197,0.48688271604938277
198,0.48688271604938277
199,0.52587890625
200,0.52587890625
201,0.52587890625
202,0.4868827160493827
203,0.52587890625
204,0.52587890625
205,0.52587890625
206,0.52587890625
207,0.52587890625
208,0.52587890625
209,0.48688271604938277
210,0.5257610900787211
211,0.52587890625
212,0.5258229783675312
213,0.5250727493258589
214,0.5257032814073103
215,0.5258202132405199
216,0.5257591588908206
217,0.5256990689215948
218,0.52587890625
219,0.52587890625
220,0.52587890625
221,0.52587890625
222,0.52587890625
223,0.52587890625
224,0.52587890625
225,0.52587890625
226,0.52587890625
227,0.52587890625
228,0.52587890625
229,0.52587890625
230,0.4868827160493827
231,0.4868827160493827
232,0.48688271604938277
233,0.4869137644722047
234,0.48691332616902994
235,0.4869132185200055
236,0.4869133983581684
237,0.48691297025947705
238,0.48691336222108766
239,0.48688271604938277
240,0.52587890625
241,0.52587890625
242,0.48688271604938277
243,0.52587890625
244,0.52587890625
245,0.52587890625
246,0.52587890625
247,0.52587890625
248,0.52587890625
249,0.52587890625
250,0.52587890625
251,0.52587890625
252,0.48688271604938277
253,0.52587890625
254,0.52587890625
255,0.52587890625
256,0.52587890625
257,0.52587890625
258,0.52587890625
259,0.52587890625
260,0.52587890625
261,0.52587890625
262,0.4934969948667512
263,0.52587890625
264,0.52587890625
265,0.52587890625
266,0.52587890625
267,0.52587890625
268,0.52587890625
269,0.4869474344112284
270,0.48688271604938277
271,0.48688271604938277
272,0.4868827160493827
273,0.48688271604938277
274,0.48688271604938277
275,0.4807098765432099
276,0.48688271604938277
277,0.4868827160493827
278,0.48688271604938277
279,0.48688271604938277
280,0.4868827160493827
281,0.52587890625
282,0.4868827160493827
283,0.48688271604938277
284,0.48688271604938277
285,0.4868827160493827
286,0.48688271604938277
287,0.48688271604938277
288,0.48688271604938277
289,0.52587890625
290,0.48688271604938277
291,0.48688271604938277
292,0.52587890625
293,0.4868827160493827
294,0.48688271604938277
295,0.4868827160493827
296,0.48688271604938277
297,0.4868827160493827
298,0.48688271604938277
299,0.52587890625
300,0.52587890625
301,0.52587890625
302,0.52587890625
303,0.52587890625
304,0.52587890625
305,0.52587890625
306,0.52587890625
307,0.52587890625
308,0.52587890625
309,0.52587890625
310,0.4868827160493827
311,0.5254635771977003
312,0.48688271604938277
313,0.4868827160493827
314,0.48688271604938277
315,0.48688271604938277
316,0.48688271604938277
317,0.48688271604938277
318,0.48688271604938277
319,0.5201445781114019
320,0.48688271604938277
321,0.4868827160493827
322,0.48688271604938277
323,0.48688271604938277
324,0.48688271604938277
325,0.4868827160493827
326,0.48688271604938277
327,0.4868827160493827
328,0.4868827160493827
329,0.48688271604938277
330,0.48688271604938277
331,0.48688271604938277
332,0.48688271604938277
333,0.4868827160493827
334,0.48688271604938277
335,0.48688271604938277
336,0.48688271604938277
337,0.48688271604938277
338,0.48688271604938277
339,0.48688271604938277
340,0.52587890625
341,0.52587890625
342,0.52587890625
